rank,venue,token,oi_base,oi_usd,mark_price,market_share_pct,total_usd
1,hyperliquid,BTC,32608.05748,2374942650.44084,72833.0,65.4679579444407,3627641253.842577
2,aster,BTC,5537.163,403265337.83777267,72828.87244565,11.11646134828283,3627641253.842577
3,edgex,BTC,4143.745,301943032.3630218,72867.1847237274,8.323398352667558,3627641253.842577
4,grvt,BTC,2688.804941467,195855710.54334393,72841.174725187,5.398982336963003,3627641253.842577
5,lighter,BTC,1933.1856,140768389.19808,72816.8,3.880438536996214,3627641253.842577
6,apex,BTC,1510.93,110044960.31800002,72832.6,3.033512759880403,3627641253.842577
7,extended,BTC,1289.85244,93781660.70490637,72707.278597625,2.5851966647906046,3627641253.842577
8,paradex,BTC,96.76096,7039512.436612648,72751.57704732,0.19405205597868996,3627641253.842577
